Model,Sharpe,Sharpe_Std,Dir_Acc,Dir_Acc_Std,IC,IC_Std,Max_DD,Win_Rate,Num_Runs,Sharpe_Display,Dir_Acc_Display,IC_Display,Max_DD_Display,Win_Rate_Display
Transformer,0.018394402796379165,0.022848454600520787,0.5328957649632755,0.0031300170347603237,0.011858003185721467,0.002402951973402447,0.999972972870732,0.5243433973467758,3,0.018 ± 0.023,53.3% ± 0.3%,0.0119 ± 0.0024,100.0%,52.4%
Informer,-0.0027993366388637344,0.03552616907089694,0.5336458821690889,0.002680641555541977,0.03399615295981897,0.00895232478714249,0.9999630981189981,0.5202940232096048,3,-0.003 ± 0.036,53.4% ± 0.3%,0.0340 ± 0.0090,100.0%,52.0%
Naive,-0.46367396280872436,0.0008690943978763978,0.4968588842006563,0.0002480779475916271,0.0022538576809748,8.83249195695579e-06,0.9998199908914521,0.48570684314727514,3,-0.464 ± 0.001,49.7% ± 0.0%,0.0023 ± 0.0000,100.0%,48.6%
Crossformer,-0.6639236385671493,0.24864561633277077,0.4994530395374277,0.013977643804736673,0.0010604162837367,0.0028452074309128017,0.8628398447935623,0.26021027489617515,3,-0.664 ± 0.249,49.9% ± 1.4%,0.0011 ± 0.0028,86.3%,26.0%
FEDformer,-0.6733577787227741,0.104829543966087,0.5143303641193936,0.005195554490306291,-0.03410568309348373,0.0077399865943465545,0.9999965952645201,0.4191741818240331,3,-0.673 ± 0.105,51.4% ± 0.5%,-0.0341 ± 0.0077,100.0%,41.9%
Autoformer,-0.769442764356461,0.07250392654107785,0.5124238162212845,0.0026800948763162492,-0.0337374501654284,0.007661281728163552,0.9999997554606144,0.41008403875172816,3,-0.769 ± 0.073,51.2% ± 0.3%,-0.0337 ± 0.0077,100.0%,41.0%
TimesNet,-0.7727355265118602,0.40134733479192364,0.5029223316143147,0.02269362837708028,-0.0030129584961458,0.023165018327472132,0.9998571739099632,0.3892916091817631,3,-0.773 ± 0.401,50.3% ± 2.3%,-0.0030 ± 0.0232,100.0%,38.9%
TimeMixer,-0.853698516866645,0.07765404457991074,0.5065791529926551,0.004266377472264452,-0.006122079016873067,0.008728065498882427,0.9999998525789788,0.4049259819964702,3,-0.854 ± 0.078,50.7% ± 0.4%,-0.0061 ± 0.0087,100.0%,40.5%
DLinear,-0.9026359333520348,0.06945606039590371,0.5181434599156117,0.0019690576652601627,0.018995950729480834,0.005945362666749514,0.9999999420415143,0.42424498949144906,3,-0.903 ± 0.069,51.8% ± 0.2%,0.0190 ± 0.0059,100.0%,42.4%
iTransformer,-0.9353742652503216,0.10254270552381843,0.5093295827473042,0.008606450891085745,0.013713380485294335,0.0029636817971388004,0.9999999714894638,0.39931634956570755,3,-0.935 ± 0.103,50.9% ± 0.9%,0.0137 ± 0.0030,100.0%,39.9%
TiDE,-0.9414036774070915,0.06965166171815367,0.5159243631817471,0.0034031961466019405,0.010920544022130633,0.0020795678642765033,0.999999992290162,0.4238137875764974,3,-0.941 ± 0.070,51.6% ± 0.3%,0.0109 ± 0.0021,100.0%,42.4%
PatchTST,-0.9685983756314697,0.025501817296629488,0.5087357399593686,0.0037439384752316093,-0.020022971254097164,0.017372979925739804,0.9999999653901831,0.36494222883024036,3,-0.969 ± 0.026,50.9% ± 0.4%,-0.0200 ± 0.0174,100.0%,36.5%
